Round,Reward
1,985.3974519893528
2,967.0522923639976
3,940.830785802775
4,927.7301092619658
5,915.1215484632644
6,896.2684756116942
7,881.7759700241033
8,862.2597872139886
9,847.1285170495103
10,822.9281092641759
11,804.1774496325291
12,784.3859803360422
13,755.3296888101031
14,731.9506739308126
15,708.4420875810436
16,665.5295974474517
17,605.7663219819776
18,554.678161249496
19,502.81074811804575
20,443.1429398981738
21,354.27531460449245
22,272.24943015566095
23,167.32679721146124
24,109.10529761713842
25,-4.04649252206957
26,-110.77112815984874
27,-271.464514331473
28,-396.0316754929721
29,-564.9475136664638
30,-712.0117243939778
31,-809.6859658587375
32,-976.3148578587454
33,-1052.9003011214547
34,-1327.3359389216173
35,-1266.106001870986
36,-1225.952687358181
37,-1426.434777881112
38,-1283.6790428827517
39,-1363.3580656874924
40,-1510.1430141646415
41,-1586.475822324492
42,-1614.3244078855962
43,-1577.0970171842723
44,-1559.9563142726197
45,-1524.7622593719511
46,-1481.6533148873598
47,-1426.8455919463188
48,-1399.8348333589734
49,-1400.3455837926128
50,-1362.1642960356082
51,-1340.6874154597522
52,-1374.6715161025525
53,-1393.949770780653
54,-1448.2890624031425
55,-1406.9624808579683
56,-1429.9906612161546
57,-1407.1346128534526
58,-987.8224189624884
59,-842.4870584500893
60,-865.5442319989568
61,-861.0089477652385
62,-1031.8203864458296
63,-1219.9671830302177
64,-1319.554914600106
65,-1370.3054390829757
66,-1437.491505588591
67,-1430.439444013685
68,-1389.159345336829
69,-1403.0977698067568
70,-1466.392363823578
71,-1414.9351467836648
72,-1426.964467599611
73,-1461.148372353427
74,-1430.896251044042
75,-1477.3633809145103
76,-1030.737945866081
77,-1013.4447095921988
78,-1365.9993985737674
79,-1036.5160503170264
80,-922.827662570024
81,-587.1910368019962
82,-373.5419998211044
83,-186.10459096224517
84,-390.2014980494045
85,-317.544519249937
86,-462.0584340755362
87,-700.1670969717903
88,-534.8055063194595
89,-597.6362663314649
90,-741.3879951049341
91,-866.7336211060872
92,-655.7080765440129
93,-447.2549722852185
94,-610.3706703364849
95,-399.46853832434863
96,-400.4234314615664
97,-319.75286919329375
98,-329.379217349412
99,-337.0397329268453
100,-508.6921772290487
101,-433.9194006796228
102,-612.0116033968752
103,-350.98169046892724
104,-173.68192293648607
105,-93.78172863395883
106,-273.9983038361533
107,-184.64894123319536
108,-97.86298869764433
109,-97.10710822334514
110,-190.84141141604636
111,-198.763128186611
112,-9.587900777952743
113,-9.635788267794124
114,-9.529903464112431
115,-9.68878925315803
116,-10.573386205080896
117,-10.072243884578349
118,-10.843347712486866
119,-9.600031861348544
120,-134.1850199624896
121,-11.270332730002702
122,-136.9481907699257
123,-138.6695619624108
124,-137.75651480942034
125,-900.855301607796
126,-389.1679204743356
127,-136.76295269727706
128,-142.259291862417
129,-279.8454902783036
130,-12.025181043334303
131,-422.2802519503981
132,-697.8857709125616
133,-285.9190676716156
134,-149.34623770359903
135,-148.79998673722147
136,-13.306133439322002
137,-12.659543472342191
138,-13.205392328277233
139,-13.421647709084208
140,-14.092228192510085
141,-14.355469422787428
142,-14.018037508800626
143,-16.011090181022883
144,-14.458617606386545
145,-14.916344821453094
146,-19.8422556694597
147,-14.971070601418614
148,-14.399406338273549
149,-14.906750172423198
150,-16.056591180711983
151,-15.277563990280033
152,-15.889607277326286
153,-15.20028938278556
154,-14.767403958551586
155,-15.93363523874432
156,-14.66356927063316
157,-15.169674118515104
158,-14.335155523847789
159,-14.379770382400602
160,-14.14249339606613
161,-13.910927717387676
162,-14.358844938967376
163,-14.627731579495594
164,-14.061104033701122
165,-16.308127866499127
166,-15.03997208494693
167,-14.54190382816596
168,-14.843539193199833
169,-14.499577762611445
170,-16.1974787639454
171,-15.983233996666968
172,-16.42103116326034
173,-16.162647624779492
174,-15.62421160582453
175,-15.472083605080844
176,-14.965199203416706
177,-14.71059811473824
178,-15.134526781365276
179,-15.708666560519486
180,-15.79174910709262
181,-16.306529472954573
182,-15.290062206238508
183,-16.61661712024361
184,-16.03700808058493
185,-18.563137228647246
186,-18.87314079105854
187,-17.16552414521575
188,-15.6431397119537
189,-16.45623859972693
190,-15.473408490256409
191,-23.6287060612347
192,-15.076530549791642
193,-15.113267545355484
194,-15.808079739147797
195,-17.232379316166043
196,-16.529914175113664
197,-16.56998520051129
198,-16.82792951092124
199,-15.47160912193358
200,-15.198157974053174
201,-15.114646122357223
202,-15.06513492539525
203,-15.276986926048997
204,-15.603163184970615
205,-15.483697276562452
206,-15.393499021185562
207,-15.4734610369429
208,-15.33572851489298
209,-16.66529935412109
210,-16.844246912933887
211,-16.216579090058804
212,-15.827855506725609
213,-15.82145511880517
214,-15.498462266847492
215,-15.641808415098058
216,-15.789150324836374
217,-15.930909443087875
218,-15.32686970497016
219,-15.004683084320275
220,-14.82439163122326
221,-14.869900438003242
222,-14.754925901070235
223,-14.90060651730746
224,-15.19032946098596
225,-15.56505968347192
226,-15.970589601807296
227,-15.404637662833556
228,-15.792496138298883
229,-16.57939302753657
230,-16.64163385760039
231,-16.716033130139113
232,-16.08681598966941
233,-15.293957424163818
234,-15.48222877215594
235,-15.365041124634445
236,-15.95503304079175
237,-16.579587641358376
238,-16.817820029705764
239,-17.08761869072914
240,-17.051028542593123
241,-16.554800086468457
242,-16.58100460683927
243,-16.55074317706749
244,-16.765040688659063
245,-17.39279568627244
246,-17.50337882488966
247,-17.09243497541174
248,-16.52429164974019
249,-16.255985291820252
250,-16.35286902450025
251,-17.183798221871257
252,-17.578150125662795
253,-17.670928233861922
254,-17.549960801750423
255,-17.364711239002645
256,-16.951899106428026
257,-17.336242936737836
258,-17.25986608956009
259,-17.219957945123316
260,-17.23935099542141
261,-17.560577946249396
262,-17.99652373995632
263,-18.51170286685228
264,-18.495962576474994
265,-17.97170586604625
266,-17.845461092703044
267,-17.68700966015458
268,-17.505618102103472
269,-17.154480831464753
270,-17.086892152385552
271,-17.319374961964787
272,-17.066048767906615
273,-17.70234373493586
274,-18.36389967224095
275,-18.30421711374074
276,-19.045946750044823
277,-19.349207369238137
278,-18.893135587126014
279,-19.37453676685691
280,-18.774147493392228
281,-18.826657893508678
282,-18.69065687451512
283,-17.917678807675838
284,-18.335062977671623
285,-18.15998782850802
286,-18.17399887535721
287,-18.28738722410053
288,-18.25257527269423
289,-18.09525135853328
290,-18.532261146139355
291,-18.74418446943164
292,-18.38749713394791
293,-18.57652442359831
294,-18.57361888932064
295,-20.04464298039675
296,-22.0494088742882
297,-20.500095706246796
298,-20.09719433961436
299,-18.78242604797706
300,-18.37685967402067
301,-18.1975564815104
302,-18.509763778746127
303,-18.337622150033717
304,-18.18843466481194
305,-18.10065793450922
306,-18.10453606043011
307,-18.765586671466007
308,-19.088865016942144
309,-19.354242001473903
310,-19.012758146412672
311,-18.49159439560026
312,-18.92044553682208
313,-18.638709671236576
314,-18.552146683633328
315,-18.10947324037552
316,-19.50167659111321
317,-20.184051282145084
318,-18.734013945236804
319,-23.564571376517414
320,-18.32364460155368
321,-18.0799361217767
322,-18.75662533144932
323,-19.066216709511355
324,-18.506181170791383
325,-18.61127123944461
326,-18.23232731409371
327,-17.501882287859917
328,-17.202494587376712
329,-17.119810421019793
330,-17.771065556630493
331,-18.097525122761727
332,-18.741606998443604
333,-18.92175459042192
334,-18.569218300282955
335,-18.41431595906615
336,-18.346487775817515
337,-18.437677816208453
338,-18.31307519217953
339,-18.06546874977648
340,-18.39845722541213
341,-18.11947990810732
342,-17.775163600221276
343,-17.7099440861959
344,-17.231374765746295
345,-17.462669997662307
346,-18.123819819092752
347,-18.068503653258084
348,-18.371992484480145
349,-18.187148770876227
350,-17.99310067957267
351,-17.93566340102989
352,-18.21039074070286
353,-18.12533174874261
354,-18.486838477756827
355,-18.458933040034022
356,-18.284668430313467
357,-18.58131650108844
358,-18.313988949917256
359,-18.546828154474497
360,-18.66007029460743
361,-18.49817000105977
362,-18.38745027706027
363,-18.177482645958666
364,-18.808777706325053
365,-18.771106308326125
366,-19.13967742025852
367,-19.469756861403585
368,-18.1654931133613
369,-17.807347556948663
370,-17.947664919495583
371,-18.190519687533374
372,-19.02938854768872
373,-19.242729295790195
374,-18.77517500370741
375,-18.39549322798848
376,-17.57098326049745
377,-18.063624734431507
378,-18.50698894634843
379,-18.88861190546304
380,-18.95760151427239
381,-18.71119486605749
382,-18.798272509872916
383,-18.73693388327956
384,-19.3311596095562
385,-19.303691314905883
386,-19.588760118559
387,-19.72768737114966
388,-19.705230373889208
389,-19.701563708414323
390,-19.878808318823577
391,-19.879349853098397
392,-19.66713189929724
393,-19.639896652288733
394,-19.36757605299353
395,-18.89574219910428
396,-18.898722857236866
397,-19.217172503843905
398,-19.02405839478597
399,-18.52655848041177
400,-18.61546899154782
401,-18.53879694514908
402,-18.02437845366076
403,-18.322347492491826
404,-18.81357478201389
405,-18.815669430792333
406,-19.0906543279998
407,-20.3679386658594
408,-18.946256532892583
409,-18.69835551379365
410,-18.97051130204927
411,-18.91112195011228
412,-18.70801164340228
413,-19.126227969117465
414,-18.719063901063056
415,-18.842141385097054
416,-18.74561425570864
417,-18.573619067668915
418,-18.89400870222598
419,-18.23912876639515
420,-17.82550048492849
421,-17.948879534192383
422,-17.888024502433836
423,-18.51246630251408
424,-19.10634085722268
425,-18.757952181249856
426,-19.27867516921833
427,-18.905513111315667
428,-18.66913517266512
429,-18.705086884647606
430,-18.18905024342239
431,-18.073231673659755
432,-17.918751660175623
433,-17.649997333809733
434,-17.486181567050515
435,-18.12051715031266
436,-18.81859904080629
437,-19.251746836304665
438,-19.982725705206395
439,-19.41930852979421
440,-19.39380677714944
