Round,Reward
1,7.077392728254199
2,11.64076821208
3,12.84255441017449
4,83.10185748636722
5,283.69069356918334
6,295.10366477370263
7,312.89633486093953
8,281.75746775223234
9,162.8414752858167
10,107.84898402331171
11,97.01551701870922
12,95.42651514692987
13,112.4516324227632
14,120.78659767362733
15,105.22636534530902
16,90.54259740143024
17,90.11044588253608
18,96.14280204961833
19,193.7977973999863
20,177.7143183310167
21,56.374656904103176
22,36.43735050805553
23,40.951874739705815
24,42.57164366670768
25,46.656174674947394
26,48.78437464708468
27,50.20587949019828
28,56.47200611074222
29,53.82344779755804
30,59.44935215534569
31,46.658498854079696
32,55.33690215782699
33,48.75040419025172
34,34.458864371679375
35,13.621227587873
36,6.15265952849586
37,2.195355590991676
38,-0.8508541706440156
39,-9.697510947659612
40,-14.759296879832982
41,-19.16071766547975
42,-23.72879540321592
43,-27.750489141375876
44,-29.889988291028565
45,-30.714646922366228
46,-28.144641605400828
47,-24.80749890391889
48,-24.35207676583668
49,-22.29909130600645
50,-18.24873756642773
51,-16.397539509774653
52,-15.40985777099122
53,-15.0622855272959
54,-16.224403118158808
55,-17.792633257369744
56,-18.497020900493958
57,-19.15051226702053
58,-19.293875836592637
59,-20.018064031377435
60,0.6648229315876961
61,4.548032695055008
62,3.9802192568778993
63,3.4669655069708822
64,3.171218543872237
65,3.069579410570441
66,2.692240481078625
67,2.3806651634629814
68,2.042165834456682
69,1.304151813685894
70,0.8083309691981413
71,0.3383014552295208
72,0.0031423527747392
73,-0.3387126099987654
74,-0.4802951355930417
75,-0.6119284385815262
76,-0.949053268134594
77,-1.7001973062753677
78,-2.239779751736205
79,-2.5164811884053053
80,-2.7536159520968795
81,-2.9253824163228277
82,-3.159397090226412
83,-3.281296514719725
84,-3.39223384000361
85,-3.5462304174900057
86,-3.726436334848404
87,-4.02009409070015
88,-4.658899663388729
89,-5.637827727198601
90,-6.069538697600365
91,-6.5382303558290005
92,-6.377041841298341
93,-5.544345801882446
94,-5.87927391360572
95,-6.069092560745776
96,-6.201211237162352
97,-6.323653307557106
98,-6.3891926348209385
99,-6.484501768648625
100,-6.471558160334825
101,-6.509095403552055
102,-6.57047440931201
103,-6.641320858150721
104,-6.791909817606211
105,-6.8850031480193135
106,-6.947785340249538
107,-6.986462157964707
108,-7.051226270198822
109,-7.053689439594746
110,-7.005031602829694
111,-6.917253825813532
112,-6.865663296729326
113,-6.8849591925740246
114,-6.91458400413394
115,-7.00038755685091
116,-6.997429671883583
117,-6.946946399658918
118,-6.884223759174347
119,-6.874294622987509
120,-6.794927428662777
121,-6.722575985640288
122,-6.745174734294414
123,-6.680587493628264
124,-6.583369441330433
125,-6.548822065442801
126,-6.6041036516428
127,-6.555567581951618
128,-6.60380499213934
129,-6.540390045195818
130,-6.456391477584839
131,-6.3920425929129125
132,-6.319395393133164
133,-6.278088906034827
134,-6.14043379612267
135,-6.078121399879455
136,-5.973098023980856
137,-5.886325462535024
138,-5.777837034314871
139,-5.633910813182593
140,-5.531219685636461
141,-5.457482154294849
142,-5.288970842026174
143,-5.26458355858922
144,-5.166405915841461
145,-4.977487848512828
146,-4.855315069667995
147,-4.645713688991964
148,-4.4533425506204365
149,-4.35968420766294
150,-4.323805646062828
151,-4.239033779548481
152,-4.162890947109554
153,-4.109297642856836
154,-4.029843654297292
155,-3.9527404945518354
156,-3.9249652449922
157,-3.883423970022705
158,-3.8054752548399846
159,-3.789794775133487
160,-3.754784984936123
161,-3.776227357519383
162,-3.7227674873080105
163,-3.720200843832572
164,-3.763662466686219
165,-3.707010646443814
166,-3.670538569521159
167,-3.655236751027405
168,-3.599045115150511
169,-3.5762804456055166
170,-3.61036882083863
171,-3.5981210935860872
172,-3.5694800838828087
173,-3.5995969731360677
174,-3.52571579515934
175,-3.559825860708952
176,-3.588300300389528
177,-3.579754918068647
178,-3.608274547383189
179,-3.589863319322467
180,-3.5823657792061567
181,-3.606168166920543
182,-3.5901883862912656
183,-3.5452121190726755
184,-3.547605189681053
185,-3.59685013666749
186,-3.626315462589264
187,-3.5994193866848945
188,-3.614372905343771
189,-3.626114074885845
190,-3.6458451859653
191,-3.568564207106829
192,-3.90067335665226
193,-4.228641336411238
194,-4.432398577779532
195,-4.5182178221642975
196,-4.590848881751299
197,-4.6691150613129135
198,-4.828028079494834
199,-4.952083632349968
200,-5.038621485978365
201,-5.199111178144813
202,-5.307339585479349
203,-5.412097192532383
204,-5.506369685684331
