Round,Reward
1,999.3937404273078
2,988.044651349634
3,988.9308714918792
4,968.6925407759844
5,968.0940261630342
6,977.6801743268968
7,969.5046222770586
8,943.4511412293184
9,885.6121932758484
10,854.9564410363324
11,782.6530605966225
12,673.1012826584745
13,562.2591548982542
14,304.01635422571854
15,96.91779827378924
16,-6.041215184640168
17,-242.5319602299016
18,-479.4795909365727
19,-690.3728624992364
20,-996.642358255817
21,-1208.6957867650956
22,-1392.8572017126396
23,-1559.9926706163562
24,-1707.1469841822982
25,-1800.4365414003491
26,-1825.2349606767295
27,-1875.8655581410217
28,-2036.9893770365045
29,-2097.604090578761
30,-2121.3333475944587
31,-2371.4916691447606
32,-2486.210594690917
33,-2486.179682697169
34,-2596.081347404257
35,-2646.141553750728
36,-2732.8379949403
37,-2789.084894091217
38,-2755.065658909828
39,-2834.433759437501
40,-2786.4903143715346
41,-2788.302335829753
42,-2786.053653586749
43,-2817.351775286719
44,-2781.1910797348246
45,-2823.765635782898
46,-2800.4348208421843
47,-2645.000840823469
48,-2513.3543139708577
49,-2363.516999941972
50,-2365.458231368853
51,-2353.4680754594506
52,-2349.7448472029296
53,-2422.803283680603
54,-2276.9436487967614
55,-2394.6254569578914
56,-2251.5395025905223
57,-2434.421664199047
58,-2320.107304306491
59,-2306.730277661234
60,-2251.9977228539065
61,-2201.19652843466
62,-2166.563083116803
63,-2115.4470326620158
64,-2041.6589910665996
65,-2112.137925431261
66,-1921.193586899055
67,-1949.4272750886216
68,-1898.533763402002
69,-1840.6246607453563
70,-1787.0539109510837
71,-1720.1329655374866
72,-1698.1448454408442
73,-1703.585869167256
74,-1735.4637441368077
75,-1752.6977813689969
76,-1673.0533422245644
77,-1660.2472986904904
78,-1537.9636433368782
79,-1537.196872998285
80,-1545.1095364204143
81,-1706.2314970992506
82,-1538.5404681040905
83,-1517.2794328703312
84,-1467.7245672467166
85,-1519.3009231535718
86,-1521.3412885463565
87,-1408.0590249700472
88,-1422.3275580220622
89,-1404.4201013445854
90,-1449.1719241462183
91,-1455.092587464489
92,-1443.5745916981482
93,-1419.1282364328392
94,-1393.543444775953
95,-1428.337991452217
96,-1616.1084718444151
97,-1715.2535757517792
98,-1756.3745530901476
99,-1659.3913793148938
100,-1460.720354156912
101,-1425.949595821393
102,-1462.0338240809244
103,-1517.0335756490008
104,-1541.9500120225362
105,-1457.5604899843572
106,-1451.154670330789
107,-1592.6517405163147
108,-1538.6359614756077
109,-1557.3688066892312
110,-1396.16935637719
111,-1523.7868935489446
112,-1581.4402959862723
113,-1712.2390562090325
114,-1671.544557303947
115,-1687.5128930009027
116,-1403.1485971246032
117,-1299.9892443582416
118,-1511.697723046341
119,-1438.0321710899705
120,-1179.5118194211973
121,-1187.4065721080174
122,-1175.442385397019
123,-1355.4990586851725
124,-1200.844730475114
125,-1384.2227794104024
126,-1248.2638996067108
127,-1222.8008724927145
128,-1222.5336163713364
129,-1382.1264787000168
130,-952.7628084158788
131,-1476.0395398561027
132,-1242.217443823826
133,-1264.282834604103
134,-1513.3716868072747
135,-1634.5189334939
136,-1630.3966711158398
137,-1770.4477143284748
138,-1550.441683230025
139,-1495.1891658747104
140,-1479.5539477086393
141,-1539.450377063965
142,-1748.581926041143
143,-1886.4604101562056
144,-1125.9032734234352
145,-962.2249713396652
146,-1026.692610244453
147,-1270.259024660269
148,-1404.1126416600484
149,-1407.629044328723
150,-1414.6454975399538
151,-1149.011887633381
152,-1175.9875025620993
153,-1397.8562235873658
154,-1536.586533743702
155,-1577.880821902491
156,-1458.501263925759
157,-1714.155044485582
158,-1395.4275968860952
159,-1069.040849908642
160,-644.1490803946042
161,-1412.8658020817616
162,-1225.8019928922645
163,-1411.3600698957366
164,-1529.521627472487
165,-904.2632586313528
166,-1411.6963206769665
167,-1172.4441986356396
168,-1224.0353356759065
169,-1319.8439076521315
170,-1308.5802571993204
171,-1271.2592612691456
172,-1366.2014954779977
173,-1446.6895629853504
174,-1472.5916279534345
175,-1545.3570610856111
176,-1786.6110214659188
177,-1675.196695282904
178,-2047.7620122658325
179,-1844.6694012580904
180,-1567.9632872372051
181,-1862.4559809273865
182,-1866.301469775988
183,-1684.283349672734
184,-2085.487488247757
185,-2363.910616060719
186,-2361.430283997039
187,-2262.538357848197
188,-2270.8612188454545
189,-1858.4295792920748
190,-2173.9618280002846
191,-2286.583714383608
192,-2464.434710798506
193,-2390.732338859793
194,-2647.252832652256
195,-2434.6959021447574
196,-2297.135948209537
197,-2555.7189649147917
198,-2287.363850545662
199,-2201.8668213821948
200,-2150.7608167239523
201,-2208.808289163187
202,-2082.2172656518583
203,-1648.7986954521853
204,-1779.6230262929662
205,-1938.100650572513
206,-2047.8786532395868
207,-2115.522262221924
208,-2027.0029336190005
209,-1910.7532693087703
210,-2058.39090301802
211,-1413.7663175840164
212,-1644.4315682571964
213,-1391.424332260061
214,-1173.650891204184
215,-2189.708847969511
216,-1981.9511426344516
217,-2270.309738963353
218,-2016.506647983594
219,-2066.233376691516
220,-2394.3017714417538
221,-2135.097476031492
222,-2042.4887175247773
223,-2358.5624869042003
224,-1928.9560155343815
225,-2564.9965335513466
226,-2418.0858606361785
227,-2204.353136086755
228,-2547.36344198538
229,-2154.265789228002
230,-2475.254398695007
231,-2142.173429288704
232,-2330.80142766916
233,-2042.6594732695487
234,-2321.461024314095
235,-2119.3026892370544
236,-2201.346687233471
237,-1317.8952825498068
238,-1692.86395879793
239,-2077.9186171589886
240,-1710.1107782447475
241,-2002.9500445180809
242,-2058.9394235689515
243,-1815.649540028139
244,-2034.2782279046485
245,-1811.57868547352
246,-1436.30887825744
247,-1828.2123762690287
248,-1736.5287599359858
249,-1437.7806363115087
250,-1331.3929791131989
251,-1800.4191267358606
252,-1736.2309023575624
253,-2104.4900195026653
254,-1748.9900611458374
255,-1812.0892232666372
256,-1474.6208745897748
257,-1380.4715536455274
258,-1746.1426395682952
259,-1736.7976079793066
260,-1740.586843479192
261,-1884.818120994652
262,-1437.2793372065614
263,-2096.36277199206
264,-1462.9456011967268
265,-1742.090774463187
266,-1485.7332497724042
267,-1629.3582064462537
268,-1296.0215989093413
269,-1844.413737807824
270,-1781.7645326902827
271,-1470.1317530973058
272,-1401.9653768512042
273,-1629.3128649948862
274,-1527.7920938233087
275,-1419.6283558242317
276,-1173.2517908942712
277,-1176.902946015986
278,-1104.4483942693855
279,-1421.472355350223
280,-841.7119303849992
281,-1303.255627202691
282,-1189.0610570230697
283,-1031.1403305615604
284,-1701.091083664936
285,-1452.868258894264
286,-1416.2874581591925
287,-1297.006138863945
288,-1848.7756205274725
289,-2220.679753874219
290,-1953.344998055874
291,-1658.9561153342715
292,-1746.9441467442782
293,-1338.3398661844708
294,-1082.2615160149812
295,-1340.5129801821313
296,-1464.8861108997953
297,-1761.474476099052
298,-1538.6784752424865
299,-2138.994013393577
300,-1634.459065026295
301,-1958.2440984341083
302,-1713.4092271295026
303,-1294.856420117349
304,-1495.7039320482058
305,-2089.3335423302024
306,-2076.943529001472
307,-1964.8668567819757
308,-1815.4210139746892
309,-1540.059037563391
310,-1634.3905749837809
311,-2118.0014633684536
312,-2222.7683425953146
313,-2505.065620755337
314,-1681.157866704336
315,-1799.0507477702224
316,-1988.574663278624
317,-1749.7209149351925
318,-2064.6656137397745
319,-2451.4082310939584
320,-2302.048986849477
321,-2419.7783930104524
322,-2292.0433451222952
323,-2731.2954429290257
324,-2261.569957805797
325,-1814.5028308165608
326,-1441.2390669845745
327,-1524.9746205396457
328,-2081.483323278185
329,-1808.9859007862165
330,-1869.3263176156904
331,-1907.567584141111
332,-1650.025003051717
333,-2017.8414493641817
334,-1649.6907690909022
335,-1657.5681564500424
336,-2223.620493659866
337,-2298.9991005572
338,-2122.423781075436
339,-1847.7163586782287
340,-2051.2975983338606
341,-1991.205508434493
342,-2490.967527462286
343,-2290.1795255238817
344,-2758.830481888476
345,-2488.611931774002
346,-2624.532331269397
347,-2437.6108499325114
348,-2708.28244725917
349,-2165.8297804967965
350,-2805.406514225155
351,-2938.12325220597
352,-2771.835668268427
353,-2772.2110533509403
354,-2766.9614021976945
355,-2662.851440785313
356,-2901.2619282421656
357,-2965.3394894827625
358,-2648.1213819372238
359,-2803.1827963565825
360,-2482.7964418951296
361,-2813.777009281775
362,-2793.9968622913
363,-2815.2086893922765
364,-2827.44290873101
365,-2487.535576249019
366,-2454.53515283491
367,-2404.071390725521
368,-2469.87009405946
369,-2876.7939259093764
370,-2366.066907881154
371,-2615.6807406148173
372,-2378.099865007473
373,-2878.49493050547
374,-2630.8360046537828
375,-2919.5309692101264
376,-2946.9133889090035
377,-2760.01602985075
378,-2797.900040529855
379,-2463.6674429431323
380,-2817.933422989352
381,-2971.783530769032
382,-2664.0937871356946
383,-2817.97641281914
384,-2370.638510523598
385,-2400.2661997674963
386,-2543.416456519533
387,-2099.6954486051573
388,-2855.064760550379
389,-2487.075071664201
390,-2724.160423366609
391,-2807.3186115918334
392,-2492.5357386089163
393,-2393.3357122060843
394,-2645.9663062167374
395,-2649.5441242749803
396,-2842.1220470749017
397,-2824.350076104095
398,-2669.0723309709456
